A new study created in RDB with name: dec_2021_test_2_8
Start optimization.
Trial 0 finished with value: 0.95010875 and parameters: {'l2_regularization': 0.005615559141266863, 'early_stopping': 'False', 'learning_rate': 0.0038566857832962424, 'max_iter': 1000, 'max_depth': 17, 'max_bins': 112, 'min_samples_leaf': 22051, 'max_leaf_nodes': 64}. Best is trial 0 with value: 0.95010875.
Trial 12 finished with value: 0.957915 and parameters: {'l2_regularization': 0.00014922836731611283, 'early_stopping': 'False', 'learning_rate': 0.024491364733662722, 'max_iter': 1000, 'max_depth': 7, 'max_bins': 142, 'min_samples_leaf': 21690, 'max_leaf_nodes': 29}. Best is trial 11 with value: 0.95921375.
Trial 13 finished with value: 0.95908 and parameters: {'l2_regularization': 8.607001078236454, 'early_stopping': 'False', 'learning_rate': 0.026670762375552753, 'max_iter': 1000, 'max_depth': 5, 'max_bins': 185, 'min_samples_leaf': 3046, 'max_leaf_nodes': 31}. Best is trial 11 with value: 0.95921375.
Trial 14 finished with value: 0.94439 and parameters: {'l2_regularization': 4.511107121603566, 'early_stopping': 'False', 'learning_rate': 0.03380176380109891, 'max_iter': 1000, 'max_depth': 2, 'max_bins': 185, 'min_samples_leaf': 880, 'max_leaf_nodes': 27}. Best is trial 11 with value: 0.95921375.
Trial 15 finished with value: 0.95351 and parameters: {'l2_regularization': 0.2230293924373837, 'early_stopping': 'False', 'learning_rate': 0.021002736701651262, 'max_iter': 1000, 'max_depth': 7, 'max_bins': 156, 'min_samples_leaf': 36958, 'max_leaf_nodes': 46}. Best is trial 11 with value: 0.95921375.
Trial 16 finished with value: 0.9562925 and parameters: {'l2_regularization': 0.09279448543681854, 'early_stopping': 'False', 'learning_rate': 0.016045920891595858, 'max_iter': 1000, 'max_depth': 7, 'max_bins': 132, 'min_samples_leaf': 24489, 'max_leaf_nodes': 27}. Best is trial 11 with value: 0.95921375.
Trial 17 finished with value: 0.9462775 and parameters: {'l2_regularization': 8.676100125873498, 'early_stopping': 'False', 'learning_rate': 0.03820762491358191, 'max_iter': 1000, 'max_depth': 4, 'max_bins': 172, 'min_samples_leaf': 57257, 'max_leaf_nodes': 51}. Best is trial 11 with value: 0.95921375.
Trial 18 finished with value: 0.9518875 and parameters: {'l2_regularization': 7.231724522482136e-07, 'early_stopping': 'False', 'learning_rate': 0.007598336663924444, 'max_iter': 1000, 'max_depth': 10, 'max_bins': 127, 'min_samples_leaf': 33961, 'max_leaf_nodes': 30}. Best is trial 11 with value: 0.95921375.
Trial 19 finished with value: 0.96063375 and parameters: {'l2_regularization': 2.394981048496936e-06, 'early_stopping': 'False', 'learning_rate': 0.02953893841432143, 'max_iter': 1000, 'max_depth': 14, 'max_bins': 200, 'min_samples_leaf': 12738, 'max_leaf_nodes': 23}. Best is trial 19 with value: 0.96063375.
Trial 20 finished with value: 0.9609875 and parameters: {'l2_regularization': 6.146127391789705e-07, 'early_stopping': 'False', 'learning_rate': 0.05422473257748446, 'max_iter': 1000, 'max_depth': 15, 'max_bins': 204, 'min_samples_leaf': 13938, 'max_leaf_nodes': 20}. Best is trial 20 with value: 0.9609875.
Trial 21 finished with value: 0.9608525 and parameters: {'l2_regularization': 1.0819327865585084e-06, 'early_stopping': 'False', 'learning_rate': 0.046491675810034216, 'max_iter': 1000, 'max_depth': 14, 'max_bins': 201, 'min_samples_leaf': 14088, 'max_leaf_nodes': 21}. Best is trial 20 with value: 0.9609875.
Trial 22 finished with value: 0.96092625 and parameters: {'l2_regularization': 1.0083819643040547e-06, 'early_stopping': 'False', 'learning_rate': 0.052699831284254955, 'max_iter': 1000, 'max_depth': 15, 'max_bins': 201, 'min_samples_leaf': 15054, 'max_leaf_nodes': 23}. Best is trial 20 with value: 0.9609875.
Trial 23 finished with value: 0.96106375 and parameters: {'l2_regularization': 7.698798490753692e-08, 'early_stopping': 'False', 'learning_rate': 0.05418833436408226, 'max_iter': 1000, 'max_depth': 15, 'max_bins': 201, 'min_samples_leaf': 22136, 'max_leaf_nodes': 25}. Best is trial 23 with value: 0.96106375.
Trial 24 finished with value: 0.96107 and parameters: {'l2_regularization': 6.428215079971807e-08, 'early_stopping': 'False', 'learning_rate': 0.06273030908052576, 'max_iter': 1000, 'max_depth': 16, 'max_bins': 233, 'min_samples_leaf': 28870, 'max_leaf_nodes': 37}. Best is trial 24 with value: 0.96107.
Trial 25 finished with value: 0.95292375 and parameters: {'l2_regularization': 1.0882391263918275e-10, 'early_stopping': 'False', 'learning_rate': 0.0646644491195757, 'max_iter': 1000, 'max_depth': 19, 'max_bins': 232, 'min_samples_leaf': 47439, 'max_leaf_nodes': 44}. Best is trial 24 with value: 0.96107.
Trial 26 finished with value: 0.961095 and parameters: {'l2_regularization': 4.941698697477848e-08, 'early_stopping': 'False', 'learning_rate': 0.09166352634810787, 'max_iter': 1000, 'max_depth': 24, 'max_bins': 228, 'min_samples_leaf': 28703, 'max_leaf_nodes': 36}. Best is trial 26 with value: 0.961095.
Trial 27 finished with value: 0.96105625 and parameters: {'l2_regularization': 5.766642436862114e-08, 'early_stopping': 'False', 'learning_rate': 0.08460209447943175, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 230, 'min_samples_leaf': 29478, 'max_leaf_nodes': 37}. Best is trial 26 with value: 0.961095.
Trial 28 finished with value: 0.95557375 and parameters: {'l2_regularization': 5.656209177714528e-08, 'early_stopping': 'False', 'learning_rate': 0.09894362202653523, 'max_iter': 1000, 'max_depth': 22, 'max_bins': 254, 'min_samples_leaf': 41235, 'max_leaf_nodes': 43}. Best is trial 26 with value: 0.961095.
Trial 29 finished with value: 0.95103875 and parameters: {'l2_regularization': 8.316103614792085e-10, 'early_stopping': 'False', 'learning_rate': 0.03901281590336123, 'max_iter': 1000, 'max_depth': 17, 'max_bins': 225, 'min_samples_leaf': 55157, 'max_leaf_nodes': 54}. Best is trial 26 with value: 0.961095.
Trial 30 finished with value: 0.96129625 and parameters: {'l2_regularization': 6.811236089582313e-08, 'early_stopping': 'False', 'learning_rate': 0.06283740129186181, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 242, 'min_samples_leaf': 25428, 'max_leaf_nodes': 34}. Best is trial 30 with value: 0.96129625.
Trial 31 finished with value: 0.96125 and parameters: {'l2_regularization': 8.82542693808369e-08, 'early_stopping': 'False', 'learning_rate': 0.06880787835987519, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 242, 'min_samples_leaf': 25471, 'max_leaf_nodes': 33}. Best is trial 30 with value: 0.96129625.
Trial 32 finished with value: 0.9612875 and parameters: {'l2_regularization': 7.312109256015853e-09, 'early_stopping': 'False', 'learning_rate': 0.06791690634654285, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 242, 'min_samples_leaf': 27644, 'max_leaf_nodes': 32}. Best is trial 30 with value: 0.96129625.
Trial 33 finished with value: 0.96112625 and parameters: {'l2_regularization': 4.908735855197523e-09, 'early_stopping': 'False', 'learning_rate': 0.06714941613374996, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 100, 'min_samples_leaf': 27290, 'max_leaf_nodes': 33}. Best is trial 30 with value: 0.96129625.
Trial 34 finished with value: 0.954825 and parameters: {'l2_regularization': 6.988867469117953e-10, 'early_stopping': 'False', 'learning_rate': 0.03821802135980984, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 109, 'min_samples_leaf': 41106, 'max_leaf_nodes': 33}. Best is trial 30 with value: 0.96129625.
Trial 35 finished with value: 0.95099875 and parameters: {'l2_regularization': 1.8546058083775505e-10, 'early_stopping': 'False', 'learning_rate': 0.00368043767619727, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 241, 'min_samples_leaf': 19346, 'max_leaf_nodes': 40}. Best is trial 30 with value: 0.96129625.
Trial 36 finished with value: 0.9613025 and parameters: {'l2_regularization': 4.8683323639646734e-09, 'early_stopping': 'False', 'learning_rate': 0.06891237616927536, 'max_iter': 1000, 'max_depth': 25, 'max_bins': 241, 'min_samples_leaf': 26253, 'max_leaf_nodes': 47}. Best is trial 36 with value: 0.9613025.
Trial 37 finished with value: 0.94981625 and parameters: {'l2_regularization': 1.2378553509809496e-08, 'early_stopping': 'False', 'learning_rate': 0.044807751837363734, 'max_iter': 1000, 'max_depth': 24, 'max_bins': 241, 'min_samples_leaf': 62853, 'max_leaf_nodes': 57}. Best is trial 36 with value: 0.9613025.
Trial 38 finished with value: 0.9543475 and parameters: {'l2_regularization': 2.012931832987312e-09, 'early_stopping': 'False', 'learning_rate': 0.015758463074345207, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 246, 'min_samples_leaf': 40101, 'max_leaf_nodes': 67}. Best is trial 36 with value: 0.9613025.
Trial 39 finished with value: 0.9394975 and parameters: {'l2_regularization': 2.293267132268321e-07, 'early_stopping': 'False', 'learning_rate': 0.00755007250256933, 'max_iter': 1000, 'max_depth': 22, 'max_bins': 217, 'min_samples_leaf': 83561, 'max_leaf_nodes': 47}. Best is trial 36 with value: 0.9613025.
Trial 40 finished with value: 0.95985375 and parameters: {'l2_regularization': 5.66456927288741e-06, 'early_stopping': 'False', 'learning_rate': 0.07309009522263045, 'max_iter': 1000, 'max_depth': 25, 'max_bins': 255, 'min_samples_leaf': 31827, 'max_leaf_nodes': 72}. Best is trial 36 with value: 0.9613025.
Trial 41 finished with value: 0.95266375 and parameters: {'l2_regularization': 4.373300854970387e-09, 'early_stopping': 'False', 'learning_rate': 0.06892224617746746, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 240, 'min_samples_leaf': 7858, 'max_leaf_nodes': 33}. Best is trial 36 with value: 0.9613025.
Trial 42 finished with value: 0.96169 and parameters: {'l2_regularization': 1.6919799720611706e-08, 'early_stopping': 'False', 'learning_rate': 0.06007120294775948, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 247, 'min_samples_leaf': 18932, 'max_leaf_nodes': 41}. Best is trial 42 with value: 0.96169.
Trial 43 finished with value: 0.9617425 and parameters: {'l2_regularization': 1.330203812725731e-08, 'early_stopping': 'False', 'learning_rate': 0.07844104823186143, 'max_iter': 1000, 'max_depth': 25, 'max_bins': 248, 'min_samples_leaf': 17449, 'max_leaf_nodes': 42}. Best is trial 43 with value: 0.9617425.
Trial 44 finished with value: 0.9617025 and parameters: {'l2_regularization': 1.9512960741360026e-08, 'early_stopping': 'False', 'learning_rate': 0.04504383042430965, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 247, 'min_samples_leaf': 17641, 'max_leaf_nodes': 42}. Best is trial 43 with value: 0.9617425.
Trial 45 finished with value: 0.9616825 and parameters: {'l2_regularization': 1.7970545118991403e-08, 'early_stopping': 'False', 'learning_rate': 0.09948742275977415, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 250, 'min_samples_leaf': 18404, 'max_leaf_nodes': 40}. Best is trial 43 with value: 0.9617425.
Trial 46 finished with value: 0.93096875 and parameters: {'l2_regularization': 1.8275647181057032e-08, 'early_stopping': 'False', 'learning_rate': 0.08305813590957307, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 248, 'min_samples_leaf': 7900, 'max_leaf_nodes': 41}. Best is trial 43 with value: 0.9617425.
Trial 47 finished with value: 0.92994875 and parameters: {'l2_regularization': 4.0768820176303576e-10, 'early_stopping': 'False', 'learning_rate': 0.0016008004054042383, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 219, 'min_samples_leaf': 17726, 'max_leaf_nodes': 47}. Best is trial 43 with value: 0.9617425.
Trial 48 finished with value: 0.961975 and parameters: {'l2_regularization': 1.984754131479827e-09, 'early_stopping': 'False', 'learning_rate': 0.04481393039847475, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 250, 'min_samples_leaf': 10281, 'max_leaf_nodes': 49}. Best is trial 48 with value: 0.961975.
Trial 49 finished with value: 0.9620625 and parameters: {'l2_regularization': 2.356703420201642e-09, 'early_stopping': 'False', 'learning_rate': 0.03060149279262056, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 252, 'min_samples_leaf': 7011, 'max_leaf_nodes': 57}. Best is trial 49 with value: 0.9620625.
Trial 50 finished with value: 0.96196 and parameters: {'l2_regularization': 1.6423137208765775e-09, 'early_stopping': 'False', 'learning_rate': 0.029889410967740393, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 234, 'min_samples_leaf': 8198, 'max_leaf_nodes': 58}. Best is trial 49 with value: 0.9620625.
Trial 51 finished with value: 0.962035 and parameters: {'l2_regularization': 1.911388217500156e-09, 'early_stopping': 'False', 'learning_rate': 0.03149594865809727, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 255, 'min_samples_leaf': 7694, 'max_leaf_nodes': 60}. Best is trial 49 with value: 0.9620625.
Trial 52 finished with value: 0.96207125 and parameters: {'l2_regularization': 2.0655365761140097e-09, 'early_stopping': 'False', 'learning_rate': 0.029860584478142355, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 255, 'min_samples_leaf': 7247, 'max_leaf_nodes': 61}. Best is trial 52 with value: 0.96207125.
Trial 53 finished with value: 0.96175125 and parameters: {'l2_regularization': 1.8285499308977341e-09, 'early_stopping': 'False', 'learning_rate': 0.018236410763450915, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 255, 'min_samples_leaf': 8498, 'max_leaf_nodes': 61}. Best is trial 52 with value: 0.96207125.
Trial 54 finished with value: 0.96193125 and parameters: {'l2_regularization': 2.1482526869803694e-09, 'early_stopping': 'False', 'learning_rate': 0.018842351524762564, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 234, 'min_samples_leaf': 6399, 'max_leaf_nodes': 61}. Best is trial 52 with value: 0.96207125.
Trial 55 finished with value: 0.9456025 and parameters: {'l2_regularization': 2.752316108713463e-10, 'early_stopping': 'False', 'learning_rate': 0.030018073701128252, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 235, 'min_samples_leaf': 3412, 'max_leaf_nodes': 60}. Best is trial 52 with value: 0.96207125.
Trial 56 finished with value: 0.96208625 and parameters: {'l2_regularization': 1.6662012502827358e-09, 'early_stopping': 'False', 'learning_rate': 0.02419801131463053, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 220, 'min_samples_leaf': 6681, 'max_leaf_nodes': 66}. Best is trial 56 with value: 0.96208625.
Trial 57 finished with value: 0.95443125 and parameters: {'l2_regularization': 7.278886307277603e-10, 'early_stopping': 'False', 'learning_rate': 0.024637234709005904, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 208, 'min_samples_leaf': 42, 'max_leaf_nodes': 66}. Best is trial 56 with value: 0.96208625.
Trial 58 finished with value: 0.96199875 and parameters: {'l2_regularization': 2.88024757144004e-10, 'early_stopping': 'False', 'learning_rate': 0.032985299545598666, 'max_iter': 1000, 'max_depth': 23, 'max_bins': 225, 'min_samples_leaf': 10342, 'max_leaf_nodes': 71}. Best is trial 56 with value: 0.96208625.
Trial 59 finished with value: 0.96106875 and parameters: {'l2_regularization': 1.4954549433387942e-10, 'early_stopping': 'False', 'learning_rate': 0.01318339538862987, 'max_iter': 1000, 'max_depth': 21, 'max_bins': 223, 'min_samples_leaf': 11048, 'max_leaf_nodes': 71}. Best is trial 56 with value: 0.96208625.
Trial 60 finished with value: 0.96202 and parameters: {'l2_regularization': 0.00019685548818387945, 'early_stopping': 'False', 'learning_rate': 0.02469502606480271, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 194, 'min_samples_leaf': 4159, 'max_leaf_nodes': 76}. Best is trial 56 with value: 0.96208625.
Trial 61 finished with value: 0.96191 and parameters: {'l2_regularization': 9.343927212286279e-05, 'early_stopping': 'False', 'learning_rate': 0.023503659172239583, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 192, 'min_samples_leaf': 4418, 'max_leaf_nodes': 79}. Best is trial 56 with value: 0.96208625.
Trial 62 finished with value: 0.9494225 and parameters: {'l2_regularization': 0.00048063842880305516, 'early_stopping': 'False', 'learning_rate': 0.03332298531368167, 'max_iter': 1000, 'max_depth': 23, 'max_bins': 191, 'min_samples_leaf': 4019, 'max_leaf_nodes': 75}. Best is trial 56 with value: 0.96208625.
Trial 63 finished with value: 0.961985 and parameters: {'l2_regularization': 0.013680405058608748, 'early_stopping': 'False', 'learning_rate': 0.03391119510675348, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 213, 'min_samples_leaf': 11381, 'max_leaf_nodes': 64}. Best is trial 56 with value: 0.96208625.
Trial 64 finished with value: 0.9617 and parameters: {'l2_regularization': 0.014539453120424383, 'early_stopping': 'False', 'learning_rate': 0.021390125755394843, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 210, 'min_samples_leaf': 12295, 'max_leaf_nodes': 65}. Best is trial 56 with value: 0.96208625.
Trial 65 finished with value: 0.9621 and parameters: {'l2_regularization': 0.659501613851118, 'early_stopping': 'False', 'learning_rate': 0.026172689837443395, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 215, 'min_samples_leaf': 5082, 'max_leaf_nodes': 69}. Best is trial 65 with value: 0.9621.
Trial 66 finished with value: 0.96172875 and parameters: {'l2_regularization': 0.5738265170652654, 'early_stopping': 'False', 'learning_rate': 0.014532592928045868, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 177, 'min_samples_leaf': 1601, 'max_leaf_nodes': 69}. Best is trial 65 with value: 0.9621.
Trial 67 finished with value: 0.96108875 and parameters: {'l2_regularization': 1.8232469026122077e-05, 'early_stopping': 'False', 'learning_rate': 0.010675593429281423, 'max_iter': 1000, 'max_depth': 24, 'max_bins': 162, 'min_samples_leaf': 5429, 'max_leaf_nodes': 75}. Best is trial 65 with value: 0.9621.
Trial 68 finished with value: 0.96170125 and parameters: {'l2_regularization': 0.002679526516806686, 'early_stopping': 'False', 'learning_rate': 0.027222447423815296, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 195, 'min_samples_leaf': 14704, 'max_leaf_nodes': 76}. Best is trial 65 with value: 0.9621.
Trial 69 finished with value: 0.960895 and parameters: {'l2_regularization': 1.1823961450478802, 'early_stopping': 'False', 'learning_rate': 0.01928415575499921, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 182, 'min_samples_leaf': 22656, 'max_leaf_nodes': 63}. Best is trial 65 with value: 0.9621.
Trial 70 finished with value: 0.9609 and parameters: {'l2_regularization': 3.734943276422004e-10, 'early_stopping': 'False', 'learning_rate': 0.008612885244631347, 'max_iter': 1000, 'max_depth': 20, 'max_bins': 225, 'min_samples_leaf': 358, 'max_leaf_nodes': 54}. Best is trial 65 with value: 0.9621.
Trial 71 finished with value: 0.9620275 and parameters: {'l2_regularization': 0.01187550068467744, 'early_stopping': 'False', 'learning_rate': 0.0326385056116852, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 215, 'min_samples_leaf': 10203, 'max_leaf_nodes': 69}. Best is trial 65 with value: 0.9621.
Trial 72 finished with value: 0.96201375 and parameters: {'l2_regularization': 0.05824395477005089, 'early_stopping': 'False', 'learning_rate': 0.03618531525066644, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 214, 'min_samples_leaf': 5836, 'max_leaf_nodes': 69}. Best is trial 65 with value: 0.9621.
Trial 73 finished with value: 0.9387875 and parameters: {'l2_regularization': 0.1669733100926365, 'early_stopping': 'False', 'learning_rate': 0.038397652824949086, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 206, 'min_samples_leaf': 96752, 'max_leaf_nodes': 69}. Best is trial 65 with value: 0.9621.
Trial 74 finished with value: 0.96203625 and parameters: {'l2_regularization': 3.1432674931374405, 'early_stopping': 'False', 'learning_rate': 0.025838432893572322, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 213, 'min_samples_leaf': 5610, 'max_leaf_nodes': 68}. Best is trial 65 with value: 0.9621.
Trial 75 finished with value: 0.96159875 and parameters: {'l2_regularization': 3.126634654180558, 'early_stopping': 'False', 'learning_rate': 0.025694683504510776, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 196, 'min_samples_leaf': 14282, 'max_leaf_nodes': 63}. Best is trial 65 with value: 0.9621.
Trial 76 finished with value: 0.96160375 and parameters: {'l2_regularization': 0.5097242297838951, 'early_stopping': 'False', 'learning_rate': 0.023197309514092816, 'max_iter': 1000, 'max_depth': 9, 'max_bins': 220, 'min_samples_leaf': 2177, 'max_leaf_nodes': 55}. Best is trial 65 with value: 0.9621.
Trial 77 finished with value: 0.9614975 and parameters: {'l2_regularization': 0.0006290941022467535, 'early_stopping': 'False', 'learning_rate': 0.01717505002619277, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 185, 'min_samples_leaf': 9526, 'max_leaf_nodes': 73}. Best is trial 65 with value: 0.9621.
Trial 78 finished with value: 0.96187125 and parameters: {'l2_regularization': 3.1504068253596387, 'early_stopping': 'False', 'learning_rate': 0.020923254494087534, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 237, 'min_samples_leaf': 6020, 'max_leaf_nodes': 58}. Best is trial 65 with value: 0.9621.
Trial 79 finished with value: 0.96171125 and parameters: {'l2_regularization': 0.0011929008991605915, 'early_stopping': 'False', 'learning_rate': 0.030135804303582273, 'max_iter': 1000, 'max_depth': 25, 'max_bins': 228, 'min_samples_leaf': 15229, 'max_leaf_nodes': 67}. Best is trial 65 with value: 0.9621.
Trial 80 finished with value: 0.96067875 and parameters: {'l2_regularization': 0.020287892154307097, 'early_stopping': 'False', 'learning_rate': 0.041202079384354856, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 205, 'min_samples_leaf': 3888, 'max_leaf_nodes': 80}. Best is trial 65 with value: 0.9621.
Trial 81 finished with value: 0.962125 and parameters: {'l2_regularization': 0.07028479959814377, 'early_stopping': 'False', 'learning_rate': 0.03459656734033643, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 214, 'min_samples_leaf': 6102, 'max_leaf_nodes': 68}. Best is trial 81 with value: 0.962125.
Trial 82 finished with value: 0.96215 and parameters: {'l2_regularization': 0.23670395231113453, 'early_stopping': 'False', 'learning_rate': 0.02679861528264634, 'max_iter': 1000, 'max_depth': 29, 'max_bins': 214, 'min_samples_leaf': 6937, 'max_leaf_nodes': 77}. Best is trial 82 with value: 0.96215.
Trial 83 finished with value: 0.9617275 and parameters: {'l2_regularization': 0.20791450384111113, 'early_stopping': 'False', 'learning_rate': 0.02775910649540327, 'max_iter': 1000, 'max_depth': 27, 'max_bins': 216, 'min_samples_leaf': 13122, 'max_leaf_nodes': 68}. Best is trial 82 with value: 0.96215.
Trial 84 finished with value: 0.96201625 and parameters: {'l2_regularization': 0.5791664618298453, 'early_stopping': 'False', 'learning_rate': 0.05030492564167254, 'max_iter': 1000, 'max_depth': 30, 'max_bins': 212, 'min_samples_leaf': 8160, 'max_leaf_nodes': 65}. Best is trial 82 with value: 0.96215.
Trial 85 finished with value: 0.96212125 and parameters: {'l2_regularization': 1.0468878223508107, 'early_stopping': 'False', 'learning_rate': 0.03365142371857818, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 221, 'min_samples_leaf': 6627, 'max_leaf_nodes': 60}. Best is trial 82 with value: 0.96215.
Trial 86 finished with value: 0.9612575 and parameters: {'l2_regularization': 1.3527322780641098, 'early_stopping': 'False', 'learning_rate': 0.022102453203906396, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 223, 'min_samples_leaf': 21321, 'max_leaf_nodes': 60}. Best is trial 82 with value: 0.96215.
Trial 87 finished with value: 0.962045 and parameters: {'l2_regularization': 6.502883304094542, 'early_stopping': 'False', 'learning_rate': 0.04034223467958241, 'max_iter': 1000, 'max_depth': 28, 'max_bins': 200, 'min_samples_leaf': 1804, 'max_leaf_nodes': 62}. Best is trial 82 with value: 0.96215.
Trial 88 finished with value: 0.9619275 and parameters: {'l2_regularization': 2.3117431798978627, 'early_stopping': 'False', 'learning_rate': 0.049200773660296904, 'max_iter': 1000, 'max_depth': 26, 'max_bins': 198, 'min_samples_leaf': 1682, 'max_leaf_nodes': 56}. Best is trial 82 with value: 0.96215.
